country,country_code,number_of_satellites
ALGERIA,ALG,6
ARAB SATELLITE COMMUNICATIONS ORGANIZATION,AB,14
ARGENTINA,ARGN,24
ASIA SATELLITE TELECOMMUNICATIONS COMPANY (ASIASAT),AC,8
AUSTRALIA,AUS,25
AZERBAIJAN,AZER,2
BANGLADESH,BGD,1
BELARUS,BELA,2
BOLIVIA,BOL,1
BRAZIL,BRAZ,17
BULGARIA,BGR,1
CANADA,CA,60
CHILE,CHLE,3
CHINA/BRAZIL,CHBZ,3
COMMONWEALTH OF INDEPENDENT STATES (FORMER USSR),CIS,1532
CZECH REPUBLIC (FORMER CZECHOSLOVAKIA),CZCH,2
CZECHIA,CZ,3
DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA,LKA,1
DENMARK,DEN,9
ECUADOR,ECU,2
EGYPT,EGYP,9
ESTONIA,EST,2
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,EUME,9
EUROPEAN SPACE AGENCY,ESA,92
EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION,EUTE,54
FEDERAL DEMOCRATIC REPUBLIC OF NEPAL,NPL,1
FRANCE,FR,73
FRANCE/GERMANY,FGER,2
FRANCE/ITALY,FRIT,2
GERMANY,GER,71
GLOBALSTAR,GLOB,84
GREECE,GREC,3
INDIA,IND,99
INDONESIA,INDO,18
INTERNATIONAL MOBILE SATELLITE ORGANIZATION (INMARSAT),IM,18
INTERNATIONAL SPACE STATION,ISS,5
INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION,ITSO,86
IRAN,IRAN,2
IRAQ,IRAK,1
ISRAEL,ISRA,23
ITALY,IT,29
JAPAN,JPN,188
KAZAKHSTAN,KAZ,8
LAOS,LAOS,1
LATVIA,LTV,1
LITHUANIA,LTU,3
LUXEMBOURG,LUXE,4
MALAYSIA,MALA,7
MEXICO,MEX,13
MOROCCO,MA,2
NETHERLANDS,NETH,8
NEW ICO,NICO,1
NEW ZEALAND,NZ,1
NIGERIA,NIG,5
NORTH ATLANTIC TREATY ORGANIZATION,NATO,8
NORTH KOREA,NKOR,2
NORWAY,NOR,9
O3B NETWORKS,O3B,20
ORBCOMM,ORB,41
PAKISTAN,PAKI,6
PEOPLE'S REPUBLIC OF CHINA,PRC,433
PERU,PER,2
PHILIPPINES (REPUBLIC OF THE PHILIPPINES),RP,2
POLAND,POL,5
PORTUGAL,POR,2
QATAR,QAT,1
REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORGANIZATION,RASC,2
REPUBLIC OF RWANDA,RWA,1
REPUBLIC OF SLOVENIA,SVN,2
SAUDI ARABIA,SAUD,15
SEA LAUNCH,SEAL,1
SINGAPORE,SING,11
SINGAPORE/TAIWAN,STCT,2
SLOVAKIA,SK,1
SOCIETE EUROPEENNE DES SATELLITES,SES,56
SOUTH AFRICA,SAFR,5
SOUTH KOREA,SKOR,24
SPAIN,SPN,29
SWEDEN,SWED,11
TAIWAN (REPUBLIC OF CHINA),ROC,16
THAILAND,THAI,11
TURKEY,TURK,13
TURKMENISTAN/MONACO,TMMC,1
UNITED ARAB EMIRATES,UAE,10
UNITED KINGDOM,UK,118
UNITED STATES,US,2739
UNITED STATES/BRAZIL,USBZ,1
URUGUAY,URY,1
VENEZUELA,VENZ,3
VIETNAM,VTNM,3
