country_code,satellite_name,satellite_id,sat_intl_code,sat_launch_date,sat_period
ALG,ALCOMSAT 1,43039,2017-078A,2017-12-10,1436.1
ALG,ALSAT 1N,41789,2016-059G,2016-09-26,98.3
ALG,ALSAT 2B,41786,2016-059D,2016-09-26,98.2
ALG,ALSAT 1B,41785,2016-059C,2016-09-26,98.4
ALG,ALSAT 2A,36798,2010-035D,2010-07-12,98.2
ALG,ALSAT 1,27559,2002-054A,2002-11-28,97.8
AB,ARABSAT 6A,44186,2019-021A,2019-04-11,1436.2
AB,BADR 7 (ARABSAT-6B),41029,2015-065B,2015-11-10,1436.1
AB,ARABSAT 5C,37810,2011-049B,2011-09-21,1436.1
AB,ARABSAT 5A,36745,2010-032B,2010-06-26,1436.1
AB,BADR-5 (ARABSAT 5B),36592,2010-025A,2010-06-03,1436.1
AB,BADR 6,33154,2008-034B,2008-07-07,1436.1
AB,ARABSAT 4B,29526,2006-051A,2006-11-08,1436.1
AB,ARABSAT 3A,25638,1999-009A,1999-02-26,1437.6
AB,ARABSAT 2B,24652,1996-063A,1996-11-13,1448.5
AB,ARABSAT 2A,23948,1996-040A,1996-07-09,1451.2
AB,ARABSAT 1B,15825,1985-048C,1985-06-17,1434.5
AB,ARABSAT 1A,15560,1985-015A,1985-02-08,1433.7
AB,ARABSAT 1D (ANIK D2),15383,1984-113B,1984-11-08,1455.9
AB,ARABSAT 1DR (TELSTAR 3A),14234,1983-077A,1983-07-28,1446.9
ARGN,NUSAT-6 HYPATIA,46272,2020-061A,2020-09-03,94.7
ARGN,SAOCOM 1-B,46265,2020-059A,2020-08-30,97.2
ARGN,NUSAT-8 (MARIE),45018,2020-003C,2020-01-15,94.3
ARGN,NUSAT-7 (SOPHIE),45017,2020-003B,2020-01-15,94.1
ARGN,SAOCOM 1-A,43641,2018-076A,2018-10-08,97.2
ARGN,NUSAT 5,43204,2018-015K,2018-02-02,94.4
ARGN,NUSAT 4,43195,2018-015D,2018-02-02,94.4
ARGN,NUSAT-3,42760,2017-034C,2017-06-15,95.3
ARGN,NUSAT 2 (BATATA),41558,2016-033C,2016-05-30,94.1
ARGN,NUSAT 1 (FRESCO),41557,2016-033B,2016-05-30,94.2
ARGN,ARSAT 2,40941,2015-054B,2015-09-30,1436.1
ARGN,ARSAT 1,40272,2014-062B,2014-10-16,1436.1
ARGN,BUGSAT 1,40014,2014-033E,2014-06-19,96.3
ARGN,CUBEBUG 2,39440,2013-066AA,2013-11-21,97.6
ARGN,CUBEBUG 1,39153,2013-018D,2013-04-26,97.2
ARGN,SAC-D (AQUARIUS),37673,2011-024A,2011-06-10,97.8
ARGN,PEHUENSAT 1,29712,2007-001D,2007-01-10,94.8
ARGN,LATINSAT A,27612,2002-058H,2002-12-20,97.3
ARGN,LATINSAT B,27606,2002-058B,2002-12-20,97.8
ARGN,SAC C,26620,2000-075B,2000-11-21,98.7
ARGN,NAHUEL 1A,24714,1997-002B,1997-01-30,1448.9
ARGN,OSCAR 19 (LUSAT),20442,1990-005G,1990-01-22,100.5
ARGN,NAHUEL I1 (ANIK C1),15642,1985-028B,1985-04-12,1444.9
ARGN,NAHUEL I2 (ANIK C2),14133,1983-059B,1983-06-18,1452.7
AC,ASIASAT 9,42942,2017-057A,2017-09-28,1436.1
AC,ASIASAT 6,40141,2014-052A,2014-09-07,1436.1
AC,ASIASAT 8,40107,2014-046A,2014-08-05,1436.1
AC,ASIASAT 7,37933,2011-069A,2011-11-25,1436.1
AC,ASIASAT 5,35696,2009-042A,2009-08-11,1436.1
AC,ASIASAT 4,27718,2003-014A,2003-04-12,1436.1
AC,ASIASAT 3S,25657,1999-013A,1999-03-21,1436.1
AC,ASIASAT 1,20558,1990-030A,1990-04-07,1450.9
AUS,TYVAK-0171,46295,2020-061Z,2020-09-03,95.3
AUS,TYVAK-0088,46294,2020-061Y,2020-09-03,95.3
AUS,M2 PATHFINDER,45727,2020-037E,2020-06-13,96.6
AUS,ACRUX 1,44369,2019-037E,2019-06-29,93.3
