name,satid,source,launchsite,lat,long
HYSIS,43719,India,SRIHARIKOTA (SRI),13.7259,80.2266
GAOFEN-5,43461,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
NUSAT 5,43204,Argentina,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
NUSAT 4,43195,Argentina,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
VRSS-2,42954,Venezuela,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
VENUS,42901,Israel,FRENCH GUIANA (FRGUI),5.236,-52.775
SENTINEL 2B,42063,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
TANSAT,41898,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
RESOURCESAT 2A,41877,India,SRIHARIKOTA (SRI),13.7259,80.2266
WORLDVIEW-4,41848,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
CARTOSAT 2C,41599,India,SRIHARIKOTA (SRI),13.7259,80.2266
NUSAT 2 (BATATA),41558,Argentina,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
NUSAT 2 (BATATA),41558,Argentina,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
NUSAT 1 (FRESCO),41557,Argentina,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
NUSAT 1 (FRESCO),41557,Argentina,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
ZIYUAN 3-2,41556,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
SENTINEL 1B,41456,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
RESURS P3,41386,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
SENTINEL-3A,41335,European Space Agency ,PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
BISONSAT,40968,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
LAPAN A2,40931,Indonesia,SRIHARIKOTA (SRI),13.7259,80.2266
GAOFEN 8,40701,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
SENTINEL 2A,40697,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
KOMPSAT 3A,40536,South Korea,"Orenburg, Russia (OREN)",51.776272,55.099594
RESURS P2,40360,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
CBERS-4,40336,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
GAOFEN 2,40118,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
SKYSAT 2,40072,United States,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
SPOT 7,40053,France,SRIHARIKOTA (SRI),13.7259,80.2266
ALOS 2,39766,Japan,TANEGASHIMA SPACE CENTER (TNSTA),30.37500382,130.9576
KAZEOSAT 1,39731,Kazakhstan,FRENCH GUIANA (FRGUI),5.236,-52.775
SHIYAN-5,39455,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
STSAT 3,39422,South Korea,"Orenburg, Russia (OREN)",51.776272,55.099594
DUBAISAT 2,39419,United Arab Emirates,"Orenburg, Russia (OREN)",51.776272,55.099594
SKYSAT 1,39418,United States,"Orenburg, Russia (OREN)",51.776272,55.099594
RESURS P1,39186,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
VNREDSAT 1,39160,Vietnam,FRENCH GUIANA (FRGUI),5.236,-52.775
PROBA V,39159,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
GAOFEN 1,39150,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
SARAL,39086,India,SRIHARIKOTA (SRI),13.7259,80.2266
LANDSAT 8,39084,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
GOKTURK 2,39030,Turkey,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
VRSS-1,38782,Venezuela,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
SPOT 6,38755,France,SRIHARIKOTA (SRI),13.7259,80.2266
BKA 2,38708,Belarus,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
KANOPUS-v 1,38707,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
RISAT 1,38248,India,SRIHARIKOTA (SRI),13.7259,80.2266
ZY 1,38038,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
SICH 2,37794,Commonwealth of Independent States (former USSR),"Orenburg, Russia (OREN)",51.776272,55.099594
HAIYANG 2A,37781,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
RESOURCESAT 2,37387,India,SRIHARIKOTA (SRI),13.7259,80.2266
TIANHUI 1,36985,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
ALSAT 2A,36795,Algeria,SRIHARIKOTA (SRI),13.7259,80.2266
CARTOSAT 2B,36795,India,SRIHARIKOTA (SRI),13.7259,80.2266
YAOGAN 9C,36415,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
YAOGAN 9B,36414,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
YAOGAN 9A,36413,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
YAOGAN 8,36121,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
YAOGAN 7,36110,People's Republic of China,"Jiuquan Satellite Launch Center, China (JSC)",40.9845,100.2087
OCEANSAT 2,35931,India,SRIHARIKOTA (SRI),13.7259,80.2266
,35870,South Africa,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
YAOGAN 6,34839,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
GEOEYE 1,33331,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
JASON 2,33105,France,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
CARTOSAT 2A,32783,India,SRIHARIKOTA (SRI),13.7259,80.2266
TECSAR,32476,Israel,SRIHARIKOTA (SRI),13.7259,80.2266
RADARSAT 2,32382,Canada,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
CARTOSAT 2AT,29710,India,SRIHARIKOTA (SRI),13.7259,80.2266
LAPAN-TUBSAT,29709,Indonesia,SRIHARIKOTA (SRI),13.7259,80.2266
KOMPSAT 2,29268,South Korea,PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
RESURS DK-1,29228,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
EROS B,29079,Israel,"Svobodny, Russia (SVOB)",51.3769,128.1347
ALOS,28931,Japan,TANEGASHIMA SPACE CENTER (TNSTA),30.37500382,130.9576
SINAH 1,28893,Iran,PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
TOPSAT,28891,United Kingdom,PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
CARTOSAT-1,28649,India,SRIHARIKOTA (SRI),13.7259,80.2266
TANSUO 2,28220,People's Republic of China,"Xichang Space Center, China (XSC)",27.894505,102.26445
AURA,28376,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
ROCSAT 2,28254,Taiwan,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
TANSUO 1,28220,People's Republic of China,"Xichang Space Center, China (XSC)",27.894505,102.26445
CBERS 2,28057,China/Brazil,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
IRS P6,28051,India,SRIHARIKOTA (SRI),13.7259,80.2266
MONITOR-E/SL-19,27840,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
ADEOS 2,27597,Japan,TANEGASHIMA SPACE CENTER (TNSTA),30.37500382,130.9576
ALSAT 1,27559,Algeria,PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
HAIYANG 1,27430,People's Republic of China,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
AQUA,27424,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
SPOT 5,27421,France,FRENCH GUIANA (FRGUI),5.236,-52.775
ENVISAT,27386,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
MAROC TUBSAT,27004,Germany,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
BADR B,27003,Pakistan,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
METEOR 3M,27001,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
JASON,26997,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
TES,26957,India,SRIHARIKOTA (SRI),13.7259,80.2266
SAC C,26620,Argentina,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
EO 1,26619,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
TIUNGSAT 1,26548,Malaysia,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
KOMPSAT,26032,South Korea,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
TERRA,25994,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
CBERS 1,25940,China/Brazil,"Taiyuan Space Center, China (TSC)",38.8428,111.6051
IKONOS 2,25919,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
OKEAN O,25860,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
QUIKSCAT,25789,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
IRS P4,25758,India,SRIHARIKOTA (SRI),13.7259,80.2266
